id,movimenti
http://www.wikidata.org/entity/Q55177712,
http://www.wikidata.org/entity/Q55814015,impressionismo; post-impressionismo; naturalismo
http://www.wikidata.org/entity/Q56043344,
http://www.wikidata.org/entity/Q56062483,
http://www.wikidata.org/entity/Q56149824,realismo
http://www.wikidata.org/entity/Q56258104,
http://www.wikidata.org/entity/Q56258413,
http://www.wikidata.org/entity/Q56318135,
http://www.wikidata.org/entity/Q56323639,
http://www.wikidata.org/entity/Q56323645,
http://www.wikidata.org/entity/Q56323673,
http://www.wikidata.org/entity/Q56417895,rinascimento tedesco
http://www.wikidata.org/entity/Q56417994,rinascimento tedesco
http://www.wikidata.org/entity/Q56538353,
http://www.wikidata.org/entity/Q56599032,
http://www.wikidata.org/entity/Q56776954,
http://www.wikidata.org/entity/Q57530584,pittura veneta; pittura rinascimentale italiana
http://www.wikidata.org/entity/Q57623718,
http://www.wikidata.org/entity/Q58177339,
http://www.wikidata.org/entity/Q58178579,
http://www.wikidata.org/entity/Q58181750,
http://www.wikidata.org/entity/Q58184717,
http://www.wikidata.org/entity/Q58185294,
http://www.wikidata.org/entity/Q58231270,
http://www.wikidata.org/entity/Q58480176,
http://www.wikidata.org/entity/Q58956093,
http://www.wikidata.org/entity/Q59185173,
http://www.wikidata.org/entity/Q59185398,
http://www.wikidata.org/entity/Q59442235,
http://www.wikidata.org/entity/Q59914107,
http://www.wikidata.org/entity/Q60838300,
http://www.wikidata.org/entity/Q61767320,
http://www.wikidata.org/entity/Q61816747,
http://www.wikidata.org/entity/Q62014629,
http://www.wikidata.org/entity/Q62272761,
http://www.wikidata.org/entity/Q62476202,
http://www.wikidata.org/entity/Q63476058,
http://www.wikidata.org/entity/Q63994924,
http://www.wikidata.org/entity/Q63995247,
http://www.wikidata.org/entity/Q64766792,
http://www.wikidata.org/entity/Q65610116,
http://www.wikidata.org/entity/Q66098687,
http://www.wikidata.org/entity/Q67203105,
http://www.wikidata.org/entity/Q67203111,
http://www.wikidata.org/entity/Q68704168,manierismo
http://www.wikidata.org/entity/Q69658139,
http://www.wikidata.org/entity/Q69859246,
http://www.wikidata.org/entity/Q71126799,
http://www.wikidata.org/entity/Q74717988,
http://www.wikidata.org/entity/Q77310161,
http://www.wikidata.org/entity/Q78330040,
http://www.wikidata.org/entity/Q78756742,
http://www.wikidata.org/entity/Q78783346,
http://www.wikidata.org/entity/Q78799218,
http://www.wikidata.org/entity/Q78910398,
http://www.wikidata.org/entity/Q79020756,
http://www.wikidata.org/entity/Q79021384,
http://www.wikidata.org/entity/Q79021962,
http://www.wikidata.org/entity/Q79022279,
http://www.wikidata.org/entity/Q79022528,
http://www.wikidata.org/entity/Q79022983,
http://www.wikidata.org/entity/Q79023210,
http://www.wikidata.org/entity/Q79023501,
http://www.wikidata.org/entity/Q79024384,
http://www.wikidata.org/entity/Q79024730,
http://www.wikidata.org/entity/Q79025062,
http://www.wikidata.org/entity/Q79026167,
http://www.wikidata.org/entity/Q79151177,
http://www.wikidata.org/entity/Q79859145,
http://www.wikidata.org/entity/Q80824471,
http://www.wikidata.org/entity/Q81089309,
http://www.wikidata.org/entity/Q86674601,
http://www.wikidata.org/entity/Q87469267,
http://www.wikidata.org/entity/Q88164010,
http://www.wikidata.org/entity/Q88416397,
http://www.wikidata.org/entity/Q88961191,
http://www.wikidata.org/entity/Q89034154,
http://www.wikidata.org/entity/Q89035643,
http://www.wikidata.org/entity/Q89039593,
http://www.wikidata.org/entity/Q89697566,
http://www.wikidata.org/entity/Q90291195,
http://www.wikidata.org/entity/Q93520523,
http://www.wikidata.org/entity/Q93631317,
http://www.wikidata.org/entity/Q94634547,
http://www.wikidata.org/entity/Q94636244,
http://www.wikidata.org/entity/Q96025421,
http://www.wikidata.org/entity/Q96192148,
http://www.wikidata.org/entity/Q97065805,
http://www.wikidata.org/entity/Q97378803,manierismo
http://www.wikidata.org/entity/Q97463134,
http://www.wikidata.org/entity/Q97669288,
http://www.wikidata.org/entity/Q97669846,
http://www.wikidata.org/entity/Q97933450,
http://www.wikidata.org/entity/Q98108204,
http://www.wikidata.org/entity/Q98449585,
http://www.wikidata.org/entity/Q98545387,
http://www.wikidata.org/entity/Q98557614,
