id,generi
http://www.wikidata.org/entity/Q52084102,autoritratto
http://www.wikidata.org/entity/Q52155208,autoritratto
http://www.wikidata.org/entity/Q52155641,autoritratto
http://www.wikidata.org/entity/Q52157937,autoritratto
http://www.wikidata.org/entity/Q52217967,
http://www.wikidata.org/entity/Q52329690,autoritratto
http://www.wikidata.org/entity/Q52735921,arte di genere
http://www.wikidata.org/entity/Q53560123,arte religiosa
http://www.wikidata.org/entity/Q53940665,arte religiosa
http://www.wikidata.org/entity/Q54086391,arte religiosa
http://www.wikidata.org/entity/Q54625897,
http://www.wikidata.org/entity/Q54811281,arte religiosa
http://www.wikidata.org/entity/Q55177712,arte religiosa
http://www.wikidata.org/entity/Q55814015,paesaggio marino; pittura paesaggistica
http://www.wikidata.org/entity/Q56043344,ritratto
http://www.wikidata.org/entity/Q56062483,pittura mitologica
http://www.wikidata.org/entity/Q56149824,arte di genere
http://www.wikidata.org/entity/Q56258104,
http://www.wikidata.org/entity/Q56258413,
http://www.wikidata.org/entity/Q56318135,
http://www.wikidata.org/entity/Q56323639,pittura mitologica
http://www.wikidata.org/entity/Q56323645,
http://www.wikidata.org/entity/Q56323673,arte religiosa
http://www.wikidata.org/entity/Q56417895,ritratto
http://www.wikidata.org/entity/Q56417994,ritratto
http://www.wikidata.org/entity/Q56538353,ritratto
http://www.wikidata.org/entity/Q56599032,
http://www.wikidata.org/entity/Q56776954,arte religiosa
http://www.wikidata.org/entity/Q57530584,arte religiosa
http://www.wikidata.org/entity/Q57623718,arte religiosa
http://www.wikidata.org/entity/Q58177339,arte religiosa
http://www.wikidata.org/entity/Q58178579,arte religiosa
http://www.wikidata.org/entity/Q58181750,arte religiosa
http://www.wikidata.org/entity/Q58184717,ritratto
http://www.wikidata.org/entity/Q58185294,ritratto
http://www.wikidata.org/entity/Q58231270,
http://www.wikidata.org/entity/Q58480176,
http://www.wikidata.org/entity/Q58956093,arte religiosa
http://www.wikidata.org/entity/Q59185173,arte religiosa
http://www.wikidata.org/entity/Q59185398,
http://www.wikidata.org/entity/Q59442235,arte religiosa
http://www.wikidata.org/entity/Q59914107,
http://www.wikidata.org/entity/Q60838300,arte religiosa
http://www.wikidata.org/entity/Q61767320,arte religiosa
http://www.wikidata.org/entity/Q61816747,ritratto
http://www.wikidata.org/entity/Q62014629,nudo artistico; pastorale
http://www.wikidata.org/entity/Q62272761,
http://www.wikidata.org/entity/Q62476202,ritratto
http://www.wikidata.org/entity/Q63476058,arte religiosa
http://www.wikidata.org/entity/Q63994924,arte religiosa
http://www.wikidata.org/entity/Q63995247,arte religiosa
http://www.wikidata.org/entity/Q64766792,ritratto
http://www.wikidata.org/entity/Q65610116,paesaggio urbano
http://www.wikidata.org/entity/Q66098687,arte religiosa
http://www.wikidata.org/entity/Q67203105,arte religiosa
http://www.wikidata.org/entity/Q67203111,pittura storica
http://www.wikidata.org/entity/Q68704168,arte religiosa
http://www.wikidata.org/entity/Q69658139,ritratto
http://www.wikidata.org/entity/Q69859246,ritratto
http://www.wikidata.org/entity/Q71126799,arte religiosa
http://www.wikidata.org/entity/Q74717988,arte religiosa
http://www.wikidata.org/entity/Q77310161,arte religiosa
