id,artisti
http://www.wikidata.org/entity/Q3697602,Beato Angelico (maschio)
http://www.wikidata.org/entity/Q3697640,Andrea del Castagno (maschio)
http://www.wikidata.org/entity/Q3698182,Bramantino (maschio)
http://www.wikidata.org/entity/Q3698204,Giorgio Vasari (maschio)
http://www.wikidata.org/entity/Q3704794,Peter Paul Rubens (maschio)
http://www.wikidata.org/entity/Q3706331,Andrea del Sarto (maschio)
http://www.wikidata.org/entity/Q3709306,Dosso Dossi (maschio)
http://www.wikidata.org/entity/Q3711898,Bonaventura Berlinghieri (maschio)
http://www.wikidata.org/entity/Q3714445,Andrea del Sarto (maschio)
http://www.wikidata.org/entity/Q115153353,
http://www.wikidata.org/entity/Q115430770,
http://www.wikidata.org/entity/Q115453601,
http://www.wikidata.org/entity/Q115456457,
http://www.wikidata.org/entity/Q3725199,Dosso Dossi (maschio)
http://www.wikidata.org/entity/Q3725832,Peter Paul Rubens (maschio)
http://www.wikidata.org/entity/Q115589179,
http://www.wikidata.org/entity/Q115659447,
http://www.wikidata.org/entity/Q115662781,
http://www.wikidata.org/entity/Q3731103,Angelo Maccagnino (maschio)
http://www.wikidata.org/entity/Q3732905,Filippo Lippi (maschio)
http://www.wikidata.org/entity/Q115783769,
http://www.wikidata.org/entity/Q115789803,
http://www.wikidata.org/entity/Q115898761,
http://www.wikidata.org/entity/Q3740793,Piero del Pollaiolo (maschio)
http://www.wikidata.org/entity/Q3743879,Tiziano Vecellio (maschio)
http://www.wikidata.org/entity/Q3747239,Masolino da Panicale (maschio)
http://www.wikidata.org/entity/Q3752350,Giotto (maschio)
http://www.wikidata.org/entity/Q3752977,Giorgione (maschio)
http://www.wikidata.org/entity/Q3766168,Correggio (maschio)
http://www.wikidata.org/entity/Q116771231,
http://www.wikidata.org/entity/Q3769202,Buonamico Buffalmacco (maschio)
http://www.wikidata.org/entity/Q116912691,
http://www.wikidata.org/entity/Q3771679,Francesco Granacci (maschio)
http://www.wikidata.org/entity/Q3771746,Tiziano Vecellio (maschio)
http://www.wikidata.org/entity/Q3771749,Perin del Vaga (maschio)
http://www.wikidata.org/entity/Q116956495,
http://www.wikidata.org/entity/Q116968203,
http://www.wikidata.org/entity/Q3775535,Jan Brueghel il Vecchio (maschio)
http://www.wikidata.org/entity/Q117043780,
http://www.wikidata.org/entity/Q3778382,Beato Angelico (maschio)
http://www.wikidata.org/entity/Q3784247,Tiziano Vecellio (maschio)
http://www.wikidata.org/entity/Q3784272,Agnolo Bronzino (maschio)
http://www.wikidata.org/entity/Q117382014,
http://www.wikidata.org/entity/Q117615645,
http://www.wikidata.org/entity/Q3797482,Giovanni Fattori (maschio)
http://www.wikidata.org/entity/Q117756937,
http://www.wikidata.org/entity/Q117797593,
http://www.wikidata.org/entity/Q117848759,
http://www.wikidata.org/entity/Q3817178,Vittore Carpaccio (maschio)
