id,soggetti
http://www.wikidata.org/entity/Q104832804,Dormizione di Maria
http://www.wikidata.org/entity/Q104902739,
http://www.wikidata.org/entity/Q104963266,
http://www.wikidata.org/entity/Q104966980,preghiera
http://www.wikidata.org/entity/Q104999859,
http://www.wikidata.org/entity/Q105001687,Valenza Gradenigo
http://www.wikidata.org/entity/Q105001950,
http://www.wikidata.org/entity/Q105002330,Gianpiero Carlo Cantoni
http://www.wikidata.org/entity/Q105005172,
http://www.wikidata.org/entity/Q105009573,
http://www.wikidata.org/entity/Q105010125,
http://www.wikidata.org/entity/Q105010402,
http://www.wikidata.org/entity/Q105025725,
http://www.wikidata.org/entity/Q105070687,
http://www.wikidata.org/entity/Q105070700,
http://www.wikidata.org/entity/Q105070713,
http://www.wikidata.org/entity/Q105544193,
http://www.wikidata.org/entity/Q105754329,Leonardo Loredan
http://www.wikidata.org/entity/Q105760555,groppo
http://www.wikidata.org/entity/Q105773240,Alessandro Farnese il Giovane
http://www.wikidata.org/entity/Q105882065,
http://www.wikidata.org/entity/Q105906293,
http://www.wikidata.org/entity/Q105942793,
http://www.wikidata.org/entity/Q105942808,
http://www.wikidata.org/entity/Q106172341,Sophie Regnault
http://www.wikidata.org/entity/Q106547526,
http://www.wikidata.org/entity/Q106570155,Antoine-Denis Chaudet
http://www.wikidata.org/entity/Q106575251,
http://www.wikidata.org/entity/Q106649932,Carlo V d'Asburgo
http://www.wikidata.org/entity/Q106684238,papa Paolo III
http://www.wikidata.org/entity/Q106766906,Pietro Bembo
http://www.wikidata.org/entity/Q106766907,Maddalena penitente
http://www.wikidata.org/entity/Q106857023,
http://www.wikidata.org/entity/Q106863540,Alfonso I d'Este
http://www.wikidata.org/entity/Q107132227,"John Churchill, I duca di Marlborough"
http://www.wikidata.org/entity/Q107171794,
http://www.wikidata.org/entity/Q107254346,Charles de La Fosse
http://www.wikidata.org/entity/Q107273576,papa Leone X
http://www.wikidata.org/entity/Q107311733,
http://www.wikidata.org/entity/Q107440131,elevazione della Croce
http://www.wikidata.org/entity/Q107467842,
