id,altezza
http://www.wikidata.org/entity/Q120488471,
http://www.wikidata.org/entity/Q120488611,
http://www.wikidata.org/entity/Q120488851,
http://www.wikidata.org/entity/Q120489814,
http://www.wikidata.org/entity/Q3889195,180
http://www.wikidata.org/entity/Q3889211,230
http://www.wikidata.org/entity/Q3889255,240
http://www.wikidata.org/entity/Q3889253,225
http://www.wikidata.org/entity/Q3889247,262
http://www.wikidata.org/entity/Q3889203,312
http://www.wikidata.org/entity/Q3889254,268
http://www.wikidata.org/entity/Q3889229,295
http://www.wikidata.org/entity/Q3889220,331
http://www.wikidata.org/entity/Q120598525,
http://www.wikidata.org/entity/Q120598716,
http://www.wikidata.org/entity/Q120884863,
http://www.wikidata.org/entity/Q120884895,
http://www.wikidata.org/entity/Q120900571,
http://www.wikidata.org/entity/Q120903815,
http://www.wikidata.org/entity/Q3904398,185
http://www.wikidata.org/entity/Q3904392,43.7
http://www.wikidata.org/entity/Q3907497,393
http://www.wikidata.org/entity/Q3907344,116.6
http://www.wikidata.org/entity/Q3910087,347
http://www.wikidata.org/entity/Q3910913,170
http://www.wikidata.org/entity/Q121546107,
http://www.wikidata.org/entity/Q3921705,115
http://www.wikidata.org/entity/Q3921912,207
http://www.wikidata.org/entity/Q3924389,89
http://www.wikidata.org/entity/Q121689728,
http://www.wikidata.org/entity/Q3925592,360
http://www.wikidata.org/entity/Q121735048,
http://www.wikidata.org/entity/Q121995915,
http://www.wikidata.org/entity/Q3937080,76
http://www.wikidata.org/entity/Q3937438,55
http://www.wikidata.org/entity/Q3937502,87
http://www.wikidata.org/entity/Q3937561,56
http://www.wikidata.org/entity/Q3937511,114
http://www.wikidata.org/entity/Q3937553,113
http://www.wikidata.org/entity/Q3937569,139
http://www.wikidata.org/entity/Q3937643,106
http://www.wikidata.org/entity/Q3937634,131
http://www.wikidata.org/entity/Q3937547,265
http://www.wikidata.org/entity/Q3937598,52.6
http://www.wikidata.org/entity/Q3944499,89
http://www.wikidata.org/entity/Q3944515,138
http://www.wikidata.org/entity/Q3945710,51
http://www.wikidata.org/entity/Q3946910,310
http://www.wikidata.org/entity/Q3947013,51
http://www.wikidata.org/entity/Q3947064,380
http://www.wikidata.org/entity/Q3947210,66
http://www.wikidata.org/entity/Q3947211,128
http://www.wikidata.org/entity/Q3947277,79
http://www.wikidata.org/entity/Q3947281,94
http://www.wikidata.org/entity/Q3947288,136
http://www.wikidata.org/entity/Q3947375,159
