id,titolo,artisti,data_creazione,generi,luoghi,collezioni,contenuti,movimenti,soggetti,altezza,larghezza
http://www.wikidata.org/entity/Q1109340,La Fortezza,Sandro Botticelli (maschio),1470,allegoria,Palazzo degli Uffizi,Palazzo degli Uffizi,donna; spada; sandalo; coraggio; abito da donna; trono; fortezza; armatura; posizione seduta,Primo Rinascimento,coraggio,167.0,87.0
http://www.wikidata.org/entity/Q1109475,Visitazione di Carmignano,Pontormo (maschio),1528,arte religiosa,propositura dei Santi Michele e Francesco,propositura dei Santi Michele e Francesco,Maria; donna; strada urbana; Elisabetta; bianco; Abaya; Visitazione della Beata Vergine Maria; posizione eretta; Tichel,,Visitazione della Beata Vergine Maria,202.0,156.0
http://www.wikidata.org/entity/Q1110146,Adorazione dei pastori con i santi Nazario e Celso,Il Moretto (maschio),1540,arte religiosa,collegiata dei Santi Nazaro e Celso,collegiata dei Santi Nazaro e Celso,Maria; donna; uomo; ragazzo; preghiera; arco; edificio; cherubino; bianco; armatura; Bambino Gesù; adorazione dei pastori; nastro; gufo,Rinascimento,adorazione dei pastori,380.0,320.0
http://www.wikidata.org/entity/Q1113938,Città ideale - Urbino,,1480,paesaggio urbano,Galleria nazionale delle Marche; Ex monastero di Santa Chiara,Galleria nazionale delle Marche,città ideale,rinascimento italiano,Città ideale,67.7,239.4
http://www.wikidata.org/entity/Q1114823,Sant'Agostino nello studio,Sandro Botticelli (maschio),1490,arte religiosa,Palazzo degli Uffizi; casa di Bernardo Vecchietti,Palazzo degli Uffizi,Agostino d'Ippona,Primo Rinascimento,,41.0,27.0
http://www.wikidata.org/entity/Q1114856,Madonna del Padiglione,Sandro Botticelli (maschio),1490,arte religiosa,Pinacoteca Ambrosiana,Pinacoteca Ambrosiana,Maria; donna; ragazzo; Bambino Gesù,Primo Rinascimento,,65.0,65.0
http://www.wikidata.org/entity/Q1114881,Venere e le tre Grazie offrono doni a una giovane,Sandro Botticelli (maschio),1484,pittura mitologica,Museo del Louvre; Villa Lemmi,dipartimento di pittura del museo del Louvre; Villa Lemmi,donna; Venere; dono; vaso; Cariti; putto; angelo; Giovanna degli Albizzi; posizione eretta; tela,Primo Rinascimento,,211.0,284.0
http://www.wikidata.org/entity/Q867678,Antea,Parmigianino (maschio),1535 | 1600,ritratto,Museo nazionale di Capodimonte,Museo nazionale di Capodimonte,donna; ermellino; cortigiana; posizione eretta,Alto Rinascimento,,136.0,86.0
http://www.wikidata.org/entity/Q794077,Amor sacro e Amor profano,Tiziano Vecellio (maschio),1514,allegoria,Galleria Borghese,Collezione Borghese; Galleria Borghese,"Cupido; stemma; Venere; paesaggio; donna vestita, uomo nudo; donna nuda; allegoria",pittura veneta; Alto Rinascimento,amore,118.0,279.0
http://www.wikidata.org/entity/Q948034,La Velata,Raffaello Sanzio (maschio),1513,ritratto,Sala di Giove,Galleria Palatina,velo; Margherita Luti; donna giovane,Alto Rinascimento,donna giovane,82.0,61.0
http://www.wikidata.org/entity/Q945625,Stigmate di san Francesco,Michelangelo Buonarroti (maschio),1500,arte religiosa,,,uomo; stigmate; Francesco d'Assisi,Alto Rinascimento,Stimmate di San Francesco,,
http://www.wikidata.org/entity/Q924655,Trafugamento del corpo di san Marco,Jacopo Tintoretto (maschio),1564,arte religiosa,Gallerie dell'Accademia,Gallerie dell'Accademia,Venezia; colonna; Marco; cadavere; via ad arco,manierismo; pittura veneta,,398.0,315.0
http://www.wikidata.org/entity/Q945250,Ritratto di Francesco delle Opere,Perugino (maschio),1494,ritratto,Palazzo degli Uffizi,Palazzo degli Uffizi,paesaggio,Alto Rinascimento,,52.0,44.0
http://www.wikidata.org/entity/Q955295,Madonna di Macerata,Carlo Crivelli (maschio),1470,arte religiosa,Musei civici di Palazzo Buonaccorsi,Macerata Musei; Musei civici di Palazzo Buonaccorsi,Maria; donna; ragazzo; madre; Bambino Gesù; Madonna col Bambino,pittura rinascimentale italiana,Madonna col Bambino,61.9,41.0
http://www.wikidata.org/entity/Q1115423,Compianto sul Cristo morto,Sandro Botticelli (maschio),1490 | 1495,arte religiosa,Museo Poldi Pezzoli; chiesa di Santa Maria Maggiore,Museo Poldi Pezzoli,Gesù; Maria; uomo; preghiera; santo; Maria Maddalena; Giovanni,Primo Rinascimento,Compianto sul Cristo morto,106.0,71.0
http://www.wikidata.org/entity/Q1115413,Storie di Virginia,Sandro Botticelli (maschio),1501,pittura mitologica,Accademia Carrara,Accademia Carrara,Verginia,Primo Rinascimento,,85.0,165.0
