id,titolo
http://www.wikidata.org/entity/Q22958240,Elia nel deserto svegliato e nutrito dall'angelo
http://www.wikidata.org/entity/Q23006207,Giuliana distribuisce l'acqua ai pellegrini assetati
http://www.wikidata.org/entity/Q21666329,Crocifissione e Strage degli Innocenti
http://www.wikidata.org/entity/Q24050695,Laguna veneziana
http://www.wikidata.org/entity/Q24090614,Il Naviglio
http://www.wikidata.org/entity/Q24090610,Veduta dei Navigli
http://www.wikidata.org/entity/Q24091047,L'alzaia del Naviglio Grande a Milano
http://www.wikidata.org/entity/Q24091066,interno della chiesa di Sant'Ambrogio
http://www.wikidata.org/entity/Q24091089,Via San Calimero a Milano
http://www.wikidata.org/entity/Q24091112,Il bacino di San Marco a Venezia
http://www.wikidata.org/entity/Q24325684,Ritratto equestre di Filippo IV di Spagna
http://www.wikidata.org/entity/Q24933808,Storie della vita di san Benedetto
http://www.wikidata.org/entity/Q24938224,Savognino d'inverno
http://www.wikidata.org/entity/Q24939660,Interno urbano
http://www.wikidata.org/entity/Q24939843,Ritratto di Giulio Romano
http://www.wikidata.org/entity/Q24939839,Vaso di fiori con sfondo campestre
http://www.wikidata.org/entity/Q24939884,Sorelle brianzole
http://www.wikidata.org/entity/Q24940870,Piana d'Abruzzo
http://www.wikidata.org/entity/Q25410292,Monza
http://www.wikidata.org/entity/Q25410567,Autunno
http://www.wikidata.org/entity/Q25444052,Visitazione
http://www.wikidata.org/entity/Q25388274,Partita a scacchi fra tra Ruy López de Segura e Leonardo da Cutro
http://www.wikidata.org/entity/Q26256901,Oratorio di San Giovanni Decollato
http://www.wikidata.org/entity/Q26488380,La Chiesa mostra le reliquie della beata
http://www.wikidata.org/entity/Q27507068,Sant'Eurosia
http://www.wikidata.org/entity/Q27504416,Sant'Antonio con il Bambino
http://www.wikidata.org/entity/Q27650796,Asfissia!
http://www.wikidata.org/entity/Q27664456,Apparizione della Vergine a San Filippo Neri
http://www.wikidata.org/entity/Q27948860,Ritratto di Alessandro Manzoni
http://www.wikidata.org/entity/Q27827425,La Primavera di Mario de' Fiori e Filippo Lauri
http://www.wikidata.org/entity/Q27830737,L'Estate di Mario de' Fiori e Carlo Maratta
http://www.wikidata.org/entity/Q27955751,Sacra Famiglia con San Giovannino e Santa Maria Maddalena
http://www.wikidata.org/entity/Q28093447,Enea e Didone si inoltrano verso la grotta
http://www.wikidata.org/entity/Q28147005,Cristo risorto
http://www.wikidata.org/entity/Q28113316,Donna con turbante
http://www.wikidata.org/entity/Q28113318,Ritratto di Stefano Colonna
http://www.wikidata.org/entity/Q28229077,Trittico Malvagna
http://www.wikidata.org/entity/Q28466203,Strage degli innocenti
http://www.wikidata.org/entity/Q28547106,La cugina Argia
http://www.wikidata.org/entity/Q28668222,Madonna dell'incendio sedato
http://www.wikidata.org/entity/Q28668544,Ritratto di Eleonora de' Medici Duchessa di Mantova
http://www.wikidata.org/entity/Q29997042,Ritratto di neonata nella culla
http://www.wikidata.org/entity/Q29654663,Ritratto di Paolo Morigia
http://www.wikidata.org/entity/Q28798137,Adorazione dei Magi
http://www.wikidata.org/entity/Q29015025,Betsabea
http://www.wikidata.org/entity/Q28803486,Dedalo e Icaro
http://www.wikidata.org/entity/Q28803514,Cristo della moneta
http://www.wikidata.org/entity/Q28803759,Dio Padre e un angelo
http://www.wikidata.org/entity/Q28809144,Clorinda salva Olindo e Sofronia dal rogo
http://www.wikidata.org/entity/Q28803484,Ritratto di Paolina Adorno Brignole-Sale
