id,data_creazione
http://www.wikidata.org/entity/Q28803759,1620
http://www.wikidata.org/entity/Q28803789,1739
http://www.wikidata.org/entity/Q28809144,1646
http://www.wikidata.org/entity/Q28860726,1600
http://www.wikidata.org/entity/Q28952741,1560
http://www.wikidata.org/entity/Q29015025,1640 | 1645
http://www.wikidata.org/entity/Q29114098,1450
http://www.wikidata.org/entity/Q29654663,1593
http://www.wikidata.org/entity/Q29997042,1583
http://www.wikidata.org/entity/Q30031052,1914
http://www.wikidata.org/entity/Q30032029,1910
http://www.wikidata.org/entity/Q30135606,1527
http://www.wikidata.org/entity/Q30605361,1652
http://www.wikidata.org/entity/Q30880011,1925
http://www.wikidata.org/entity/Q30880062,1932
http://www.wikidata.org/entity/Q30880678,1963
http://www.wikidata.org/entity/Q30880889,1576
http://www.wikidata.org/entity/Q30887689,1950
http://www.wikidata.org/entity/Q30887699,1928
http://www.wikidata.org/entity/Q30887987,1940
http://www.wikidata.org/entity/Q31559452,1470
http://www.wikidata.org/entity/Q32904769,1550
http://www.wikidata.org/entity/Q34215143,1702
http://www.wikidata.org/entity/Q37027223,
http://www.wikidata.org/entity/Q40669017,1625
http://www.wikidata.org/entity/Q40691169,1622
http://www.wikidata.org/entity/Q40695411,1623
http://www.wikidata.org/entity/Q42189297,1556
http://www.wikidata.org/entity/Q45361473,1560
http://www.wikidata.org/entity/Q45381203,1559
http://www.wikidata.org/entity/Q46833514,1530
http://www.wikidata.org/entity/Q46998093,1912
http://www.wikidata.org/entity/Q48388241,1490
http://www.wikidata.org/entity/Q48808515,1460
http://www.wikidata.org/entity/Q48814933,1545
http://www.wikidata.org/entity/Q48917755,1650 | 1670
http://www.wikidata.org/entity/Q48927682,1600
http://www.wikidata.org/entity/Q49167284,1620
http://www.wikidata.org/entity/Q49167493,1624
http://www.wikidata.org/entity/Q49167697,1624 | 1625
http://www.wikidata.org/entity/Q49167869,1566
http://www.wikidata.org/entity/Q50378007,1551
http://www.wikidata.org/entity/Q50378015,1551
http://www.wikidata.org/entity/Q50384906,1532 | 1540
http://www.wikidata.org/entity/Q50399525,1700
http://www.wikidata.org/entity/Q50422860,1545
http://www.wikidata.org/entity/Q50474718,1567
http://www.wikidata.org/entity/Q50752920,1525 | 1528
http://www.wikidata.org/entity/Q50840293,1550 | 1553
http://www.wikidata.org/entity/Q50846578,1706 | 1707
http://www.wikidata.org/entity/Q50880887,1530
http://www.wikidata.org/entity/Q50884435,1601
http://www.wikidata.org/entity/Q50894841,1558
http://www.wikidata.org/entity/Q50939921,1710 | 1730
http://www.wikidata.org/entity/Q51212996,1668
http://www.wikidata.org/entity/Q51726313,1896
http://www.wikidata.org/entity/Q51918916,1555
http://www.wikidata.org/entity/Q52084102,1862
http://www.wikidata.org/entity/Q52155208,1682
http://www.wikidata.org/entity/Q52155641,1907
http://www.wikidata.org/entity/Q52157937,1906
http://www.wikidata.org/entity/Q52217967,1893
http://www.wikidata.org/entity/Q52329690,1913
http://www.wikidata.org/entity/Q52735921,1862
http://www.wikidata.org/entity/Q53560123,1363
http://www.wikidata.org/entity/Q53940665,1545
http://www.wikidata.org/entity/Q54086391,1607
http://www.wikidata.org/entity/Q54625897,1813
http://www.wikidata.org/entity/Q54811281,1516
http://www.wikidata.org/entity/Q55177712,1900
http://www.wikidata.org/entity/Q55814015,1900
http://www.wikidata.org/entity/Q56043344,1572
http://www.wikidata.org/entity/Q56062483,
http://www.wikidata.org/entity/Q56149824,1878
http://www.wikidata.org/entity/Q56258104,1617
http://www.wikidata.org/entity/Q56258413,
http://www.wikidata.org/entity/Q56318135,1813
http://www.wikidata.org/entity/Q56323639,
http://www.wikidata.org/entity/Q56323645,1743
http://www.wikidata.org/entity/Q56323673,1757
http://www.wikidata.org/entity/Q56417895,1529
http://www.wikidata.org/entity/Q56417994,1529
http://www.wikidata.org/entity/Q56538353,1570
http://www.wikidata.org/entity/Q56599032,
http://www.wikidata.org/entity/Q56776954,1500
http://www.wikidata.org/entity/Q57530584,1565
http://www.wikidata.org/entity/Q57623718,1550
http://www.wikidata.org/entity/Q58177339,1765
http://www.wikidata.org/entity/Q58178579,1760
http://www.wikidata.org/entity/Q58181750,1785
http://www.wikidata.org/entity/Q58184717,1927
http://www.wikidata.org/entity/Q131450154,
http://www.wikidata.org/entity/Q131450152,
http://www.wikidata.org/entity/Q131450153,
http://www.wikidata.org/entity/Q131450161,
http://www.wikidata.org/entity/Q131463514,1555
http://www.wikidata.org/entity/Q131501600,
http://www.wikidata.org/entity/Q131501606,
http://www.wikidata.org/entity/Q131501607,
http://www.wikidata.org/entity/Q131501608,
http://www.wikidata.org/entity/Q131501614,
http://www.wikidata.org/entity/Q131501612,
