id,contenuti
http://www.wikidata.org/entity/Q4010476,
http://www.wikidata.org/entity/Q4010941,Magi
http://www.wikidata.org/entity/Q4014547,Maria
http://www.wikidata.org/entity/Q4015931,
http://www.wikidata.org/entity/Q4015932,Matteo; Chiamata di Matteo
http://www.wikidata.org/entity/Q5659648,Ismaele; angelo; espulsione di Agar e Ismaele
http://www.wikidata.org/entity/Q5954551,Era; Afrodite; Atena; Paride
http://www.wikidata.org/entity/Q6696013,Leonardo da Vinci
http://www.wikidata.org/entity/Q7232252,Andrea Doria
http://www.wikidata.org/entity/Q7232287,Lavinia Vecellio
http://www.wikidata.org/entity/Q28229077,Maria; stemma; Bambino Gesù; Madonna col Bambino
http://www.wikidata.org/entity/Q28466203,strage degli innocenti
http://www.wikidata.org/entity/Q28547106,ragazza
http://www.wikidata.org/entity/Q28668222,
http://www.wikidata.org/entity/Q28668544,Eleonora de' Medici
http://www.wikidata.org/entity/Q28798137,Adorazione dei Magi; Bambino Gesù
http://www.wikidata.org/entity/Q28803486,Icaro; Dedalo; panneggio; mito di Icaro e Dedalo
http://www.wikidata.org/entity/Q28803484,Paola Adorno Brignole Sale
